original_index,y_orig,y_target,detections,distance           ,calls,dataset
7270          ,1     ,3       ,444       ,3.1691508          ,25000,mnist
860           ,6     ,7       ,142       ,4.218874           ,25000,mnist
6265          ,4     ,2       ,184       ,3.6398058          ,25000,mnist
4426          ,9     ,7       ,451       ,1.7419345          ,25000,mnist
8322          ,9     ,5       ,472       ,2.3654478          ,25000,mnist
7270          ,9     ,3       ,477       ,0.8049107847529039 ,25000,cifar
860           ,4     ,7       ,469       ,0.17496681410701942,25000,cifar
466           ,4     ,6       ,473       ,1.347068338793156  ,25000,cifar
4426          ,0     ,7       ,477       ,3.392773316383832  ,25000,cifar
769           ,4     ,7       ,477       ,1.077302403531344  ,25000,cifar
860,6,7,445,3.7945068,25000,cifar
