detections,calls
-1,0
0,92
1,157
2,208
3,259
4,310
5,361
6,412
7,463
8,514
9,565
10,617
11,669
12,720
13,771
14,822
15,874
16,925
17,981
18,1036
19,1092
20,1143
21,1195
22,1249
23,1307
24,1358
25,1409
26,1461
27,1512
28,1570
29,1622
30,1673
31,1730
32,1788
33,1841
34,1893
35,1944
36,1996
37,2047
38,2101
39,2159
40,2212
41,2264
42,2318
43,2370
44,2421
45,2472
46,2523
47,2576
48,2627
49,2679
50,2737
51,2793
52,2870
53,2922
54,2975
55,3037
56,3097
57,3149
58,3200
59,3252
60,3304
61,3355
62,3406
63,3457
64,3518
65,3573
66,3624
67,3676
68,3727
69,3797
70,3852
71,3911
72,3973
73,4029
74,4083
75,4136
76,4190
77,4241
78,4306
79,4359
80,4415
81,4472
82,4528
83,4583
84,4637
85,4705
86,4761
87,4817
88,4868
89,4923
90,4978
91,5031
92,5084
93,5135
94,5186
95,5242
96,5302
97,5357
98,5417
99,5474
100,5525
101,5580
102,5636
103,5694
104,5753
105,5806
106,5868
107,5923
108,5977
109,6045
110,6105
111,6162
112,6216
113,6273
114,6341
115,6398
116,6454
117,6506
118,6558
119,6611
120,6666
121,6720
122,6771
123,6838
124,6896
125,6948
126,7009
127,7065
128,7119
129,7173
130,7227
131,7292
132,7357
133,7413
134,7469
135,7523
136,7575
137,7635
138,7689
139,7755
140,7812
141,7869
142,7922
143,7973
144,8028
145,8086
146,8146
147,8203
148,8257
149,8308
150,8365
151,8418
152,8471
153,8530
154,8583
155,8637
156,8691
157,8745
158,8798
159,8854
160,8908
161,8960
162,9029
163,9085
164,9139
165,9193
166,9248
167,9301
168,9355
169,9406
170,9458
171,9523
172,9575
173,9632
174,9688
175,9746
176,9801
177,9852
178,9909
179,9960
180,10024
181,10081
182,10135
183,10190
184,10245
185,10299
186,10351
187,10402
188,10458
189,10517
190,10580
191,10636
192,10690
193,10747
194,10800
195,10854
196,10907
197,10959
198,11021
199,11079
200,11136
201,11188
202,11249
203,11301
204,11353
205,11404
206,11458
207,11516
208,11567
209,11620
210,11673
211,11726
212,11786
213,11842
214,11896
215,11947
216,12001
217,12055
218,12113
219,12174
220,12232
221,12288
222,12342
223,12396
224,12449
225,12504
226,12562
227,12615
228,12667
229,12722
230,12782
231,12840
232,12896
233,12949
234,13001
235,13055
236,13107
237,13160
238,13219
239,13280
240,13341
241,13398
242,13450
243,13503
244,13557
245,13610
246,13674
247,13731
248,13783
249,13839
250,13894
251,13947
252,14000
253,14052
254,14106
255,14159
256,14221
257,14274
258,14337
259,14393
260,14451
261,14505
262,14559
263,14621
264,14674
265,14730
266,14782
267,14836
268,14887
269,14939
270,14992
271,15044
272,15095
273,15148
274,15206
275,15259
276,15310
277,15369
278,15423
279,15479
280,15541
281,15596
282,15650
283,15703
284,15756
285,15809
286,15866
287,15919
288,15973
289,16032
290,16084
291,16138
292,16194
293,16248
294,16304
295,16355
296,16406
297,16471
298,16532
299,16589
300,16643
301,16695
302,16746
303,16797
304,16848
305,16900
306,16952
307,17008
308,17068
309,17125
310,17179
311,17235
312,17290
313,17344
314,17399
315,17452
316,17504
317,17556
318,17609
319,17663
320,17721
321,17777
322,17828
323,17880
324,17933
325,17984
326,18037
327,18094
328,18146
329,18198
330,18249
331,18304
332,18356
333,18412
334,18463
335,18524
336,18582
337,18634
338,18690
339,18745
340,18799
341,18851
342,18906
343,18958
344,19012
345,19067
346,19120
347,19178
348,19233
349,19287
350,19343
351,19398
352,19449
353,19502
354,19554
355,19605
356,19659
357,19727
358,19782
359,19841
360,19896
361,19947
362,20001
363,20053
364,20109
365,20175
366,20230
367,20286
368,20339
369,20396
370,20453
371,20508
372,20573
373,20631
374,20682
375,20741
376,20794
377,20846
378,20900
379,20952
380,21005
381,21056
382,21107
383,21164
384,21224
385,21282
386,21335
387,21395
388,21451
389,21504
390,21555
391,21607
392,21675
393,21729
394,21786
395,21840
396,21893
397,21948
398,21999
399,22052
400,22108
401,22160
402,22217
403,22277
404,22336
405,22389
406,22445
407,22496
408,22551
409,22605
410,22657
411,22715
412,22780
413,22834
414,22889
415,22942
416,22995
417,23049
418,23101
419,23153
420,23205
421,23265
422,23320
423,23374
424,23430
425,23483
426,23539
427,23596
428,23650
429,23702
430,23757
431,23810
432,23862
433,23914
434,23976
435,24036
436,24089
437,24143
438,24196
439,24248
440,24300
441,24365
442,24423
443,24475
444,24528
