detections, call
-1,0
0,1214
1,2191
2,3217
3,3903
4,4750
5,5051
6,5432
7,5781
8,5913
9,6049
10,6672
11,7314
12,7640
13,7933
14,8140
15,8281
16,8351
17,8453
18,8914
19,9014
20,9334
21,9510
22,9659
23,9792
24,10006
25,10088
26,10520
27,10852
28,11045
29,11244
30,11453
31,11635
32,11852
33,11985
34,12132
35,12298
36,12508
37,12748
38,12860
39,13010
40,13169
41,13400
42,13687
43,13831
44,13949
45,14083
46,14433
47,14622
48,14811
49,14965
50,15211
51,15458
52,15736
53,15998
54,16114
55,16290
56,16514
57,16615
58,16850
59,16949
60,17100
61,17266
62,17471
63,17582
64,17762
65,17858
66,18009
67,18095
68,18173
69,18265
70,18423
71,18527
72,18616
73,18720
74,18776
75,18884
76,18968
77,19044
78,19156
79,19281
80,19400
81,19465
82,19523
83,19589
84,19642
85,19715
86,19806
87,19920
88,19992
89,20049
90,20108
91,20178
92,20229
93,20303
94,20372
95,20424
96,20488
97,20550
98,20636
99,20689
100,20774
101,20863
102,20920
103,20982
104,21064
105,21130
106,21200
107,21299
108,21354
109,21423
110,21510
111,21568
112,21674
113,21734
114,21797
115,21866
116,21926
117,21988
118,22045
119,22116
120,22203
121,22283
122,22349
123,22408
124,22478
125,22533
126,22595
127,22647
128,22706
129,22761
130,22828
131,22922
132,22974
133,23034
134,23123
135,23199
136,23279
137,23332
138,23384
139,23460
140,23541
141,23623
142,23684
143,23774
144,23843
145,23939
146,24020
147,24077
148,24131
149,24202
150,24255
151,24347
152,24408
153,24466
